CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,,Faculdade,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,FUNPAC,Faculdade,Venda Nova do Imigrante,ES,Extinta
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ,UEAP,Universidade,Macapá,AP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,,Faculdade,São Bernardo do Campo,SP,Ativa
4250,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA),FACE ALFOR JF,Faculdade,Juiz de Fora,MG,Extinta
626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,UNICNEC,Centro Universitário,Osório,RS,Ativa
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,FACICA,Faculdade,Campos Gerais,MG,Ativa
1419,CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,Centro Universitário,Curitiba,PR,Ativa
2538,FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,Faculdade,Venda Nova do Imigrante,ES,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Universidade,São José dos Campos,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,FUNEES Bom Sucesso,Faculdade,Bom Sucesso,MG,Extinta
22760,Faculdade Fleming Cerquilho,Fac Cerquilho,Faculdade,Cerquilho,SP,Ativa
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,"Instituto Federal de Educação, Ciência e Tecnologia",Montes Claros,MG,Ativa
25167,FACULDADE SIGMA,SIGMA EAD,Faculdade,Ibicaraí,BA,Ativa
17952,Faculdade de Tecnologia de Jacareí,FATEC Jacareí,Faculdade,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,FMSP,Faculdade,Itapeva,SP,Extinta
1244,Centro Universitário Multivix Vitória,null,Centro Universitário,Vitória,ES,Ativa
1494,Centro Universitário Salesiano,UniSales,Centro Universitário,Vitória,ES,Ativa
21877,FACULDADE INTEGRADA DA AMAZÔNIA,FINAMA,Faculdade,Belém,PA,Ativa
1253,FACULDADE METODISTA GRANBERY,FMG,Faculdade,Juiz de Fora,MG,Ativa
